[12/Sep/2020:11:41:25 +0000] 157.45.78.206 nginx to [::1]:5000, 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:11 +0000] 223.230.130.45 nginx to [::1]:5001, 127.0.0.1:5001 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:12 +0000] 223.230.130.45 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:21 +0000] 223.230.130.45 nginx to [::1]:5002, 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:21 +0000] 223.230.130.45 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:31 +0000] 223.230.130.45 nginx to 172.105.63.71:5000 [GET / HTTP/1.1] request_time 0.006 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:31 +0000] 223.230.130.45 nginx to 172.105.63.71:5001 [GET /login HTTP/1.1] request_time 0.030 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:32 +0000] 223.230.130.45 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:44:32 +0000] 223.230.130.45 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:46:13 +0000] 223.230.130.45 nginx to 172.105.63.71:5002 [GET / HTTP/1.1] request_time 0.012 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:47:36 +0000] 59.94.151.56 nginx to 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:47:37 +0000] 59.94.151.56 nginx to 172.105.63.71:5000 [GET /login HTTP/1.1] request_time 0.006 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:47:38 +0000] 59.94.151.56 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:47:38 +0000] 59.94.151.56 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:47:43 +0000] 59.94.151.56 nginx to 127.0.0.1:5000 [GET /favicon.ico HTTP/1.1] request_time 0.002 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:48:15 +0000] 223.228.3.20 nginx to 127.0.0.1:5001 [GET / HTTP/1.1] request_time 0.002 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:15 +0000] 223.228.3.20 nginx to 172.105.63.71:5001 [GET /login HTTP/1.1] request_time 0.007 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:15 +0000] 223.228.3.20 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:16 +0000] 223.228.3.20 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:17 +0000] 223.228.3.20 nginx to 172.105.63.71:5002 [GET /favicon.ico HTTP/1.1] request_time 0.006 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:39 +0000] 59.94.151.56 nginx to [::1]:5002, [::1]:5000, [::1]:5001, 127.0.0.1:5002 [POST /login HTTP/1.1] request_time 1.213 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:48:40 +0000] 59.94.151.56 nginx to 172.105.63.71:5000 [GET / HTTP/1.1] request_time 0.008 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:48:40 +0000] 59.94.151.56 nginx to - [GET /static/login.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.001 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to 127.0.0.1:5001 [GET /login HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:45 +0000] 157.49.162.224 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:48 +0000] 157.49.162.224 nginx to 172.105.63.71:5001 [GET /favicon.ico HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:58 +0000] 106.217.121.13 nginx to 172.105.63.71:5002 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:48:58 +0000] 106.217.121.13 nginx to 127.0.0.1:5002 [GET /login HTTP/1.1] request_time 0.022 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
